Time(s)	IR_denoised_wiener
0.000000	-84.497043
0.010000	-153.296723
0.020000	-198.935494
0.030000	-249.454164
0.040000	-298.001124
0.050000	-346.660747
0.060000	-383.386121
0.070000	-406.253557
0.080000	-419.479981
0.090000	-426.202306
0.100000	-428.597012
0.110000	-420.153237
0.120000	-413.459442
0.130000	-412.440210
0.140000	-421.015257
0.150000	-430.385873
0.160000	-438.282849
0.170000	-444.029973
0.180000	-445.908523
0.190000	-442.034779
0.200000	-443.598139
0.210000	-447.027288
0.220000	-445.640996
0.230000	-434.386253
0.240000	-421.415642
0.250000	-408.423195
0.260000	-388.529315
0.270000	-364.181856
0.280000	-343.688706
0.290000	-332.629500
0.300000	-323.508847
0.310000	-304.762813
0.320000	-281.070624
0.330000	-252.580883
0.340000	-227.685754
0.350000	-201.393078
0.360000	-174.347424
0.370000	-149.910634
0.380000	-126.359862
0.390000	-106.137866
0.400000	-83.046973
0.410000	-61.091691
0.420000	-59.474565
0.430000	-93.734359
0.440000	-149.853382
0.450000	-205.720701
0.460000	-246.618573
0.470000	-281.471542
0.480000	-317.077650
0.490000	-350.896622
0.500000	-379.233603
0.510000	-398.020883
0.520000	-405.429396
0.530000	-405.194271
0.540000	-401.995113
0.550000	-406.418025
0.560000	-418.900577
0.570000	-433.659123
0.580000	-446.845930
0.590000	-462.289347
0.600000	-474.467112
0.610000	-483.971340
0.620000	-487.111636
0.630000	-487.709195
0.640000	-483.775558
0.650000	-484.847513
0.660000	-499.806606
0.670000	-517.967797
0.680000	-530.879605
0.690000	-528.118589
0.700000	-511.020934
0.710000	-482.309321
0.720000	-452.219126
0.730000	-420.173348
0.740000	-389.798614
0.750000	-358.389824
0.760000	-332.774210
0.770000	-310.283564
0.780000	-281.100263
0.790000	-250.923428
0.800000	-225.797514
0.810000	-208.257313
0.820000	-189.834948
0.830000	-166.640914
0.840000	-141.594964
0.850000	-123.411047
0.860000	-130.084493
0.870000	-167.852977
0.880000	-226.566503
0.890000	-289.313895
0.900000	-346.105147
0.910000	-401.184931
0.920000	-445.979668
0.930000	-485.464324
0.940000	-519.544804
0.950000	-546.777937
0.960000	-566.817596
0.970000	-574.449539
0.980000	-578.834610
0.990000	-583.142800
1.000000	-595.235996
1.010000	-609.169663
1.020000	-624.356984
1.030000	-641.906095
1.040000	-653.490330
1.050000	-662.045084
1.060000	-663.977385
1.070000	-662.908873
1.080000	-656.152105
1.090000	-643.484430
1.100000	-634.057570
1.110000	-618.046190
1.120000	-597.701187
1.130000	-575.313031
1.140000	-555.389182
1.150000	-539.276125
1.160000	-518.087316
1.170000	-500.993700
1.180000	-482.115633
1.190000	-464.774701
1.200000	-445.162485
1.210000	-424.942141
1.220000	-407.251422
1.230000	-384.785556
1.240000	-364.417240
1.250000	-332.945061
1.260000	-302.022495
1.270000	-278.128135
1.280000	-263.320001
1.290000	-265.698805
1.300000	-285.633877
1.310000	-331.328535
1.320000	-383.910867
1.330000	-431.682045
1.340000	-476.930284
1.350000	-516.056657
1.360000	-548.328105
1.370000	-568.455880
1.380000	-579.452435
1.390000	-581.885348
1.400000	-572.937677
1.410000	-564.057446
1.420000	-558.771185
1.430000	-558.593946
1.440000	-559.626313
1.450000	-559.170132
1.460000	-565.547991
1.470000	-574.748612
1.480000	-584.176278
1.490000	-584.344100
1.500000	-579.879143
1.510000	-567.286302
1.520000	-548.967097
1.530000	-525.926763
1.540000	-508.449160
1.550000	-494.234479
1.560000	-475.283911
1.570000	-454.273042
1.580000	-428.806113
