Time(s)	IR_denoised_median
0.000000	239.844932
0.010000	270.482952
0.020000	292.621670
0.030000	316.658698
0.040000	352.401694
0.050000	406.831549
0.060000	418.999974
0.070000	418.999974
0.080000	436.306772
0.090000	442.427974
0.100000	481.351406
0.110000	526.158349
0.120000	526.158349
0.130000	526.158349
0.140000	511.074207
0.150000	503.762512
0.160000	498.856510
0.170000	476.154350
0.180000	432.686943
0.190000	390.272814
0.200000	362.606513
0.210000	332.309829
0.220000	312.613962
0.230000	293.286119
0.240000	276.659555
0.250000	267.013328
0.260000	262.822006
0.270000	259.052624
0.280000	259.052624
0.290000	247.839361
0.300000	199.167902
0.310000	142.844156
0.320000	104.273940
0.330000	47.683658
0.340000	-11.476696
0.350000	-42.432219
0.360000	-57.342833
0.370000	-57.342833
0.380000	-57.342833
0.390000	-50.575454
0.400000	-30.102205
0.410000	-13.669735
0.420000	16.060375
0.430000	16.060375
0.440000	16.060375
0.450000	11.482730
0.460000	7.398244
0.470000	7.398244
0.480000	7.398244
0.490000	10.956001
0.500000	23.035942
0.510000	32.225673
0.520000	59.900762
0.530000	73.347414
0.540000	98.928365
0.550000	101.300091
0.560000	140.217473
0.570000	140.883415
0.580000	140.883415
0.590000	140.883415
0.600000	-176.419614
0.610000	-182.830655
0.620000	-182.830655
0.630000	-182.830655
0.640000	-176.419614
0.650000	-182.830655
0.660000	-184.966866
0.670000	-191.703664
0.680000	-194.030920
0.690000	-221.387481
0.700000	-225.425406
0.710000	-244.027732
0.720000	-379.999605
0.730000	-443.906656
0.740000	-443.906656
0.750000	-443.906656
0.760000	-321.869202
0.770000	-293.454977
0.780000	-263.000599
0.790000	-239.292212
0.800000	-212.081834
0.810000	-186.172985
0.820000	-175.189571
0.830000	-152.473386
0.840000	-152.473386
0.850000	-152.473386
0.860000	-178.921795
0.870000	-245.082265
0.880000	-298.212804
0.890000	-368.844215
0.900000	-417.313879
0.910000	-445.723799
0.920000	-466.446152
0.930000	-470.547920
0.940000	-470.547920
0.950000	-470.547920
0.960000	-456.837939
0.970000	-448.804711
0.980000	-446.081962
0.990000	-446.081962
1.000000	-446.497484
1.010000	-448.804711
1.020000	-449.205407
1.030000	-449.205407
1.040000	-449.205407
1.050000	-447.846305
1.060000	-438.478150
1.070000	-393.198703
1.080000	-392.387656
1.090000	-360.482083
1.100000	-293.617419
1.110000	-291.884634
1.120000	-291.884634
1.130000	-291.884634
1.140000	-291.884634
1.150000	-269.189230
1.160000	-242.111309
1.170000	-224.393254
1.180000	-194.918528
1.190000	-173.714000
1.200000	-152.652134
1.210000	-136.422728
1.220000	-135.069945
1.230000	-118.281591
1.240000	-107.375975
1.250000	-84.370398
1.260000	-69.441417
1.270000	-45.360132
1.280000	-23.589316
1.290000	9.716002
1.300000	60.236730
1.310000	61.848821
1.320000	61.848821
1.330000	61.848821
1.340000	52.898284
1.350000	45.739377
1.360000	45.739377
1.370000	45.739377
1.380000	87.705590
1.390000	87.705590
1.400000	87.705590
1.410000	60.484622
1.420000	0.627098
1.430000	-34.438890
1.440000	-64.133080
1.450000	-64.133080
1.460000	-64.133080
1.470000	-31.902619
1.480000	27.393339
1.490000	102.358984
1.500000	153.840052
1.510000	205.790461
1.520000	241.170721
1.530000	263.917487
1.540000	263.917487
1.550000	263.917487
1.560000	262.660288
1.570000	262.660288
1.580000	262.660288
1.590000	264.752811
1.600000	464.154364
1.610000	464.154364
1.620000	464.154364
1.630000	429.273941
1.640000	352.257995
1.650000	308.140433
1.660000	272.083795
1.670000	261.118370
1.680000	257.204085
1.690000	257.204085
1.700000	257.204085
1.710000	272.506481
1.720000	286.683148
1.730000	301.823040
1.740000	301.823040
1.750000	301.823040
1.760000	290.699800
1.770000	285.659921
1.780000	285.435320
1.790000	277.602286
1.800000	277.602286
1.810000	277.602286
1.820000	288.090852
1.830000	316.325694
1.840000	324.856501
1.850000	332.298457
1.860000	358.621565
1.870000	379.144218
1.880000	397.459865
1.890000	423.001531
1.900000	436.213996
1.910000	441.921185
1.920000	441.921185
1.930000	441.921185
1.940000	440.875049
1.950000	398.465006
1.960000	350.782638
1.970000	288.162131
1.980000	248.816566
1.990000	229.740793
2.000000	219.821259
2.010000	219.821259
2.020000	219.821259
2.030000	228.912183
2.040000	243.873101
2.050000	264.447018
2.060000	264.447018
2.070000	264.447018
2.080000	256.818427
2.090000	247.704678
2.100000	228.681158
2.110000	218.142177
2.120000	218.142177
2.130000	218.142177
2.140000	225.311046
2.150000	241.883013
2.160000	265.079128
2.170000	282.590571
2.180000	311.921874
2.190000	344.218393
2.200000	362.735492
2.210000	386.938088
2.220000	407.462224
2.230000	440.720749
2.240000	456.051702
2.250000	470.648964
2.260000	470.648964
2.270000	470.648964
2.280000	446.991236
2.290000	414.506649
2.300000	388.581541
2.310000	367.307893
2.320000	367.307893
2.330000	367.307893
2.340000	389.747235
2.350000	401.829604
2.360000	423.428993
2.370000	443.457273
2.380000	462.131752
2.390000	482.081346
2.400000	491.785258
2.410000	497.744354
2.420000	499.408658
2.430000	505.421691
2.440000	517.000557
2.450000	519.042916
2.460000	534.686004
2.470000	555.565948
2.480000	582.384482
2.490000	600.033491
2.500000	630.171674
2.510000	645.353689
2.520000	660.061336
2.530000	687.657916
2.540000	719.878476
2.550000	745.941891
2.560000	752.675481
2.570000	772.863715
2.580000	772.863715
2.590000	772.863715
2.600000	732.754812
2.610000	687.477349
2.620000	639.177821
2.630000	561.998787
2.640000	510.807000
2.650000	466.300702
2.660000	444.517157
2.670000	419.470843
2.680000	408.329204
2.690000	395.534186
2.700000	366.180506
2.710000	362.750066
2.720000	362.750066
2.730000	366.180506
2.740000	382.377597
2.750000	395.281802
2.760000	405.649043
2.770000	412.780882
2.780000	439.966832
2.790000	452.099726
2.800000	459.388935
2.810000	487.440398
2.820000	487.440398
2.830000	487.440398
2.840000	459.727520
2.850000	429.454401
2.860000	379.715491
2.870000	330.083219
2.880000	303.690534
2.890000	287.589902
2.900000	273.655450
2.910000	268.587769
2.920000	268.587769
2.930000	268.587769
2.940000	287.525777
2.950000	290.945103
2.960000	290.945103
2.970000	290.945103
2.980000	285.641415
2.990000	284.727627
3.000000	284.727627
3.010000	283.458895
3.020000	283.458895
3.030000	279.025432
3.040000	279.025432
3.050000	279.025432
3.060000	295.700969
3.070000	303.556991
3.080000	303.556991
3.090000	303.556991
3.100000	265.446681
3.110000	222.984640
3.120000	192.391684
3.130000	180.919725
3.140000	178.256531
3.150000	108.642762
3.160000	79.183329
3.170000	79.183329
3.180000	79.183329
3.190000	130.242678
3.200000	173.050224
3.210000	205.965507
3.220000	208.727654
3.230000	212.345915
3.240000	212.345915
3.250000	208.727654
3.260000	212.345915
3.270000	212.345915
3.280000	220.175937
3.290000	245.493837
3.300000	254.857137
3.310000	279.124657
3.320000	306.382010
3.330000	332.738269
3.340000	353.866041
3.350000	364.308736
3.360000	382.374898
3.370000	393.748746
3.380000	393.748746
3.390000	393.748746
3.400000	353.431835
3.410000	312.460621
3.420000	274.795500
3.430000	219.774656
3.440000	194.300987
3.450000	189.892400
3.460000	189.892400
3.470000	189.892400
3.480000	202.073543
3.490000	231.179912
3.500000	239.275262
3.510000	241.392026
3.520000	248.418433
3.530000	248.418433
3.540000	248.418433
3.550000	248.476849
3.560000	248.476849
3.570000	249.854794
3.580000	254.283095
3.590000	274.005726
3.600000	302.045333
3.610000	314.057840
3.620000	333.888359
3.630000	360.990947
3.640000	384.650991
3.650000	408.911668
3.660000	421.314926
3.670000	433.845692
3.680000	445.889965
3.690000	462.558523
3.700000	462.558523
3.710000	462.558523
3.720000	433.857246
3.730000	399.331653
3.740000	359.260055
3.750000	288.978686
3.760000	245.830027
3.770000	235.425077
3.780000	208.189384
3.790000	208.189384
3.800000	208.189384
3.810000	218.585761
3.820000	231.514269
3.830000	237.600699
3.840000	239.556935
3.850000	239.556935
3.860000	237.600699
3.870000	230.910393
3.880000	222.640654
3.890000	202.013772
3.900000	179.761694
3.910000	179.761694
3.920000	179.761694
3.930000	182.025681
3.940000	213.742990
3.950000	244.903351
3.960000	263.627064
3.970000	286.791458
3.980000	313.392969
3.990000	341.607739
4.000000	368.084588
4.010000	385.342066
4.020000	405.759626
4.030000	405.759626
4.040000	405.759626
4.050000	405.624868
4.060000	349.634797
4.070000	308.457361
4.080000	245.639695
4.090000	193.403631
4.100000	157.496495
4.110000	133.245356
4.120000	133.245356
4.130000	133.245356
4.140000	139.876367
4.150000	154.871270
4.160000	165.377646
4.170000	183.638920
4.180000	188.661806
4.190000	198.617579
4.200000	430.226727
4.210000	521.972768
4.220000	575.992253
4.230000	632.074217
4.240000	676.527835
4.250000	713.140050
4.260000	738.960728
4.270000	788.223255
4.280000	788.223255
4.290000	788.223255
4.300000	778.255151
4.310000	761.281645
4.320000	748.959008
4.330000	748.959008
4.340000	748.959008
4.350000	814.338394
4.360000	904.541015
4.370000	1024.311538
4.380000	1148.950810
4.390000	1287.284793
4.400000	1474.339962
4.410000	1658.928004
4.420000	1813.700695
4.430000	1968.634103
4.440000	2174.022004
4.450000	2432.112332
4.460000	2639.957783
4.470000	2832.872997
4.480000	3049.805507
4.490000	3274.382950
4.500000	3503.590390
4.510000	3666.606362
4.520000	3771.674036
4.530000	3771.674036
4.540000	3771.674036
4.550000	3689.222846
4.560000	3623.759673
4.570000	3546.642022
4.580000	3367.569608
4.590000	2745.264560
4.600000	1319.218438
4.610000	-336.655726
4.620000	-1859.823592
4.630000	-2987.962561
4.640000	-3786.879181
4.650000	-4183.840807
4.660000	-4183.840807
4.670000	-4183.840807
4.680000	-3914.148467
4.690000	-3666.081614
4.700000	-3381.624353
4.710000	-3019.487266
4.720000	-2740.775879
