Time(s)	RED_denoised_median
0.000000	-264.547036
0.010000	-264.547036
0.020000	-264.547036
0.030000	-255.117044
0.040000	-252.752704
0.050000	-230.257627
0.060000	-213.913070
0.070000	-186.624839
0.080000	-161.812986
0.090000	-160.024906
0.100000	-154.596199
0.110000	-143.505314
0.120000	-122.385317
0.130000	-113.069717
0.140000	-99.080932
0.150000	-75.677761
0.160000	-67.869349
0.170000	-52.163368
0.180000	-31.741487
0.190000	-9.658771
0.200000	24.413306
0.210000	48.748276
0.220000	87.685430
0.230000	122.026868
0.240000	155.010617
0.250000	161.451701
0.260000	161.451701
0.270000	161.451701
0.280000	88.716099
0.290000	-6.334617
0.300000	-73.810424
0.310000	-116.271359
0.320000	-134.218179
0.330000	-135.340430
0.340000	-138.938583
0.350000	-138.938583
0.360000	-138.938583
0.370000	-136.858817
0.380000	-110.296343
0.390000	-103.519878
0.400000	-103.519878
0.410000	-91.707588
0.420000	-92.323976
0.430000	-98.146575
0.440000	-92.323976
0.450000	-90.392228
0.460000	-71.985149
0.470000	-40.072815
0.480000	-15.611520
0.490000	23.096132
0.500000	43.613082
0.510000	72.426899
0.520000	117.787895
0.530000	140.628326
0.540000	183.186967
0.550000	213.627567
0.560000	245.712865
0.570000	284.605089
0.580000	312.177018
0.590000	341.671309
0.600000	371.603575
0.610000	401.744138
0.620000	425.014795
0.630000	444.849622
0.640000	475.459701
0.650000	488.843555
0.660000	522.088067
0.670000	522.088067
0.680000	522.088067
0.690000	490.641452
0.700000	400.214116
0.710000	314.807246
0.720000	216.553948
0.730000	161.181874
0.740000	144.736839
0.750000	115.432382
0.760000	84.099241
0.770000	56.677259
0.780000	55.933519
0.790000	46.711507
0.800000	43.481735
0.810000	36.385134
0.820000	32.915812
0.830000	16.770666
0.840000	-5.799365
0.850000	-23.820860
0.860000	-41.336610
0.870000	-43.928861
0.880000	-43.928861
0.890000	-41.336610
0.900000	-41.336610
0.910000	-43.928861
0.920000	-53.701831
0.930000	-53.701831
0.940000	-63.922310
0.950000	-54.382362
0.960000	-53.701831
0.970000	-48.531736
0.980000	-54.382362
0.990000	-54.382362
1.000000	-68.227753
1.010000	-68.227753
1.020000	-68.227753
1.030000	-55.941411
1.040000	-32.665374
1.050000	-17.636979
1.060000	9.020135
1.070000	24.566383
1.080000	67.891166
1.090000	95.560166
1.100000	140.990081
1.110000	162.364397
1.120000	188.299802
1.130000	222.116781
1.140000	239.551665
1.150000	246.971471
1.160000	253.830454
1.170000	256.809794
1.180000	271.544665
1.190000	272.182037
1.200000	285.715788
1.210000	288.762754
1.220000	288.762754
1.230000	288.762754
1.240000	212.900269
1.250000	138.609249
1.260000	74.383627
1.270000	30.481910
1.280000	30.481910
1.290000	30.481910
1.300000	46.398850
1.310000	49.058508
1.320000	56.267005
1.330000	62.156523
1.340000	62.636584
