Time(s)	RED_denoised_median
0.000000	-37.008015
0.010000	-37.008015
0.020000	-37.008015
0.030000	-19.284152
0.040000	-13.946108
0.050000	3.609044
0.060000	18.242718
0.070000	50.617645
0.080000	79.333302
0.090000	119.744699
0.100000	170.395426
0.110000	199.807225
0.120000	231.627097
0.130000	280.864376
0.140000	324.773631
0.150000	347.960487
0.160000	385.076595
0.170000	441.996739
0.180000	480.277218
0.190000	502.164332
0.200000	541.584632
0.210000	573.189093
0.220000	609.014895
0.230000	647.196021
0.240000	678.445311
0.250000	707.406278
0.260000	707.406278
0.270000	707.406278
0.280000	643.163448
0.290000	544.672517
0.300000	463.628905
0.310000	401.823400
0.320000	356.102645
0.330000	338.036733
0.340000	327.511520
0.350000	327.511520
0.360000	327.511520
0.370000	332.769702
0.380000	365.228795
0.390000	379.113208
0.400000	379.113208
0.410000	379.113208
0.420000	371.233363
0.430000	370.894728
0.440000	370.894728
0.450000	370.894728
0.460000	373.738522
0.470000	377.477860
0.480000	407.933700
0.490000	433.220994
0.500000	460.259657
0.510000	481.949927
0.520000	505.649733
0.530000	529.678548
0.540000	565.099422
0.550000	589.339494
0.560000	609.655843
0.570000	635.030066
0.580000	666.214636
0.590000	699.734082
0.600000	712.745370
0.610000	729.592910
0.620000	761.264696
0.630000	790.399216
0.640000	810.840201
0.650000	853.332332
0.660000	872.231407
0.670000	872.231407
0.680000	872.231407
0.690000	803.610063
0.700000	716.063833
0.710000	651.759642
0.720000	596.478707
0.730000	512.871407
0.740000	482.245208
0.750000	466.681442
0.760000	450.644291
0.770000	450.644291
0.780000	450.644291
0.790000	455.750196
0.800000	477.754268
0.810000	477.754268
0.820000	477.754268
0.830000	463.635561
0.840000	445.551548
0.850000	434.504086
0.860000	420.619252
0.870000	413.451556
0.880000	400.652351
0.890000	391.509150
0.900000	391.509150
0.910000	391.509150
0.920000	415.773403
0.930000	436.579191
0.940000	468.911532
0.950000	490.572370
0.960000	516.175984
0.970000	550.563868
0.980000	560.360571
0.990000	567.732958
1.000000	598.580388
1.010000	612.745529
1.020000	615.951057
1.030000	622.959069
1.040000	622.959069
1.050000	622.959069
1.060000	612.589136
1.070000	610.949805
1.080000	606.133463
1.090000	595.224504
1.100000	534.354411
1.110000	439.437630
1.120000	328.802797
1.130000	231.704573
1.140000	153.208437
1.150000	119.051869
1.160000	96.476873
1.170000	62.800026
1.180000	62.800026
1.190000	62.800026
1.200000	87.812780
1.210000	91.199927
1.220000	91.199927
1.230000	87.812780
1.240000	84.247933
1.250000	73.706516
1.260000	69.088856
1.270000	63.490939
1.280000	58.792145
1.290000	58.792145
1.300000	58.792145
1.310000	64.512562
1.320000	84.361024
1.330000	99.979018
1.340000	111.000549
1.350000	120.475958
1.360000	135.672628
1.370000	162.991361
1.380000	186.303540
1.390000	211.588064
1.400000	231.919458
1.410000	240.204622
1.420000	250.613959
1.430000	271.826142
1.440000	281.242462
1.450000	293.569893
1.460000	293.569893
1.470000	293.569893
1.480000	292.431684
1.490000	208.073364
1.500000	113.216564
1.510000	18.765890
1.520000	-56.959445
1.530000	-104.547453
1.540000	-130.159784
1.550000	-134.828415
1.560000	-134.828415
1.570000	-134.828415
1.580000	-117.628750
1.590000	-106.269181
1.600000	-106.269181
1.610000	-106.269181
1.620000	-117.648708
1.630000	-119.819564
1.640000	-123.882060
1.650000	-127.074287
1.660000	-131.152649
1.670000	-131.152649
1.680000	-131.152649
1.690000	-126.191954
1.700000	-111.271841
1.710000	-100.389407
1.720000	-97.308556
1.730000	-59.196870
1.740000	-33.824887
1.750000	-21.898192
1.760000	11.845238
1.770000	31.219391
1.780000	57.177265
1.790000	59.694219
1.800000	81.827788
1.810000	131.985436
1.820000	161.854597
1.830000	183.968133
1.840000	183.968133
1.850000	183.968133
1.860000	179.983191
1.870000	113.796359
1.880000	11.093215
1.890000	-73.104478
1.900000	-117.877096
1.910000	-155.137238
1.920000	-182.740828
1.930000	-192.139512
1.940000	-192.139512
1.950000	-192.139512
1.960000	-187.598528
1.970000	-162.939730
1.980000	-138.590202
1.990000	-134.747447
2.000000	-134.747447
2.010000	-134.747447
2.020000	-139.295267
2.030000	-148.703280
2.040000	-148.703280
2.050000	-148.703280
2.060000	-138.822781
2.070000	-117.605040
2.080000	-107.695790
2.090000	-90.382470
2.100000	-51.570874
2.110000	-30.295340
2.120000	-11.286454
2.130000	18.796724
2.140000	42.924657
2.150000	74.983680
2.160000	109.091324
2.170000	123.135787
2.180000	161.450088
2.190000	190.082354
2.200000	211.919378
2.210000	248.088235
2.220000	274.272942
2.230000	274.272942
2.240000	274.272942
2.250000	273.355991
2.260000	203.844066
2.270000	102.527540
2.280000	13.270931
2.290000	-63.411843
2.300000	-124.286741
2.310000	-153.308190
2.320000	-164.149066
2.330000	-164.149066
2.340000	-164.149066
2.350000	-160.786840
2.360000	-149.550192
2.370000	-132.666168
2.380000	-132.666168
2.390000	-132.666168
2.400000	-136.070906
2.410000	-142.589296
2.420000	-153.716961
2.430000	-164.821856
2.440000	-164.821856
2.450000	-164.821856
2.460000	-159.396732
2.470000	-153.611786
2.480000	-141.310206
2.490000	-107.099685
2.500000	-90.073511
2.510000	-67.643920
2.520000	-45.910535
2.530000	-18.147979
2.540000	15.237682
2.550000	31.290733
2.560000	74.575933
2.570000	91.464210
2.580000	112.148748
2.590000	139.567046
2.600000	162.687291
2.610000	209.781805
2.620000	228.006889
2.630000	228.006889
2.640000	228.006889
2.650000	190.619007
2.660000	119.643023
2.670000	32.839285
2.680000	-49.822519
2.690000	-116.961086
2.700000	-140.238683
2.710000	-150.922493
2.720000	-154.787872
2.730000	-154.787872
2.740000	-154.787872
2.750000	-131.454065
2.760000	-113.828194
2.770000	-111.441351
2.780000	-107.318859
2.790000	-107.318859
2.800000	-111.441351
2.810000	-125.703589
2.820000	-125.703589
2.830000	-125.703589
2.840000	-122.941967
2.850000	-103.189909
2.860000	-100.262535
2.870000	-86.058509
2.880000	-71.690274
2.890000	-42.856894
2.900000	-41.271563
2.910000	-16.401741
2.920000	-5.092784
2.930000	13.211009
2.940000	42.039055
2.950000	75.798409
2.960000	103.154714
2.970000	129.431031
2.980000	156.259586
2.990000	160.996208
3.000000	160.996208
3.010000	160.996208
3.020000	122.259245
3.030000	40.197674
3.040000	-57.043726
3.050000	-133.675974
3.060000	-182.426646
3.070000	-217.610665
3.080000	-239.453768
3.090000	-240.345986
3.100000	-240.345986
3.110000	-239.453768
3.120000	-227.808394
3.130000	-218.119470
3.140000	-202.383754
3.150000	-202.383754
3.160000	-202.383754
3.170000	-204.109575
3.180000	-215.268802
3.190000	-215.904467
3.200000	-215.904467
3.210000	-215.268802
3.220000	-200.070469
3.230000	-199.518317
3.240000	-189.601438
3.250000	-172.328621
3.260000	-142.661494
3.270000	-125.674970
3.280000	-125.674970
3.290000	-125.674970
3.300000	-305.468882
3.310000	-316.897200
3.320000	-316.897200
3.330000	-305.468882
3.340000	-283.387101
3.350000	-273.540148
3.360000	-235.980603
3.370000	-230.493303
3.380000	-196.247806
3.390000	-172.727037
3.400000	-145.371719
3.410000	-122.027528
3.420000	-92.451248
3.430000	-70.399312
3.440000	-49.480894
3.450000	-20.769661
3.460000	16.461336
3.470000	36.782470
3.480000	66.540018
3.490000	88.208273
3.500000	112.690878
3.510000	131.956623
3.520000	131.956623
3.530000	131.956623
3.540000	74.905767
3.550000	-13.572430
3.560000	-111.996508
3.570000	-197.103038
3.580000	-254.930861
3.590000	-287.684655
3.600000	-309.905783
3.610000	-324.240361
3.620000	-324.851520
3.630000	-324.851520
3.640000	-324.851520
3.650000	-315.414036
3.660000	-315.414036
3.670000	-315.414036
3.680000	-310.812701
3.690000	-310.015446
3.700000	-276.814469
3.710000	-258.543924
3.720000	-252.111556
3.730000	-211.730821
3.740000	-190.688330
3.750000	-174.739863
3.760000	-141.249728
3.770000	-111.878286
3.780000	-93.779046
3.790000	-61.936163
3.800000	-25.409811
3.810000	5.996019
3.820000	14.930756
3.830000	59.126437
3.840000	59.126437
3.850000	59.126437
3.860000	35.672056
3.870000	-41.928631
3.880000	-138.539059
3.890000	-222.366592
3.900000	-288.833211
3.910000	-318.772818
3.920000	-351.295799
3.930000	-358.002037
3.940000	-358.002037
3.950000	-358.002037
3.960000	-346.265129
3.970000	-324.859870
3.980000	-324.859870
3.990000	-324.859870
4.000000	-325.854117
4.010000	-332.337969
4.020000	-333.766077
4.030000	-333.766077
4.040000	-332.337969
4.050000	-327.538133
4.060000	-321.401272
4.070000	-305.245813
4.080000	-297.726844
4.090000	-267.580706
4.100000	31.284398
4.110000	74.543904
4.120000	92.858801
4.130000	131.149582
4.140000	140.165773
4.150000	172.024887
4.160000	187.212279
4.170000	218.088809
4.180000	218.088809
4.190000	218.088809
4.200000	167.562843
4.210000	100.999356
4.220000	-1.188652
4.230000	-83.127062
4.240000	-147.108765
4.250000	-173.201304
4.260000	-206.976649
4.270000	-213.234859
4.280000	-213.234859
4.290000	-206.976649
4.300000	-205.210345
4.310000	-204.241397
4.320000	-198.879036
4.330000	-195.701410
4.340000	-195.701410
4.350000	-198.879036
4.360000	-214.066323
4.370000	-214.066323
4.380000	-214.066323
4.390000	-199.284850
4.400000	-1.973640
4.410000	36.147301
4.420000	59.791003
4.430000	89.228771
4.440000	106.441593
4.450000	137.422243
4.460000	152.931613
4.470000	183.771758
4.480000	207.265890
4.490000	234.204338
4.500000	255.536821
4.510000	289.703574
4.520000	289.703574
4.530000	289.703574
4.540000	246.838175
4.550000	151.795839
4.560000	44.948843
4.570000	-51.587713
4.580000	-101.911502
4.590000	-128.139509
4.600000	-146.613198
4.610000	-147.768053
4.620000	-190.854241
4.630000	-236.794023
4.640000	-266.407947
4.650000	-266.947462
4.660000	-271.032569
4.670000	-284.034996
4.680000	-303.707824
4.690000	-363.279706
4.700000	-397.881404
4.710000	-397.881404
