Time(s)	GREEN_denoised_wiener
0.000000	581.465530
0.010000	590.365074
0.020000	594.775526
0.030000	602.813296
0.040000	609.272638
0.050000	616.649857
0.060000	624.796094
0.070000	637.864932
0.080000	651.997322
0.090000	667.791775
0.100000	684.560953
0.110000	701.751324
0.120000	719.491864
0.130000	736.739456
0.140000	752.454312
0.150000	767.430540
0.160000	783.116187
0.170000	801.821333
0.180000	821.463044
0.190000	837.568981
0.200000	854.864946
0.210000	873.667323
0.220000	892.290507
0.230000	899.434766
0.240000	895.443227
0.250000	883.571726
0.260000	870.967820
0.270000	857.716799
0.280000	846.861030
0.290000	838.213143
0.300000	831.781229
0.310000	826.399020
0.320000	819.055417
0.330000	813.294917
0.340000	809.345466
0.350000	808.886054
0.360000	808.311870
0.370000	806.507836
0.380000	803.972780
0.390000	798.812716
0.400000	792.331736
0.410000	785.806369
0.420000	782.050010
0.430000	780.478698
0.440000	780.455717
0.450000	781.839531
0.460000	783.545541
0.470000	785.556226
0.480000	786.985462
0.490000	790.635080
0.500000	794.764479
0.510000	802.077250
0.520000	810.882068
0.530000	820.873396
0.540000	830.345503
0.550000	838.354177
0.560000	847.500731
0.570000	858.845622
0.580000	870.328453
0.590000	884.028999
0.600000	899.495942
0.610000	913.216841
0.620000	916.996254
0.630000	906.426913
0.640000	884.194008
0.650000	853.983829
0.660000	821.073015
0.670000	790.884148
0.680000	765.953210
0.690000	743.444939
0.700000	722.513532
0.710000	703.683590
0.720000	690.087872
0.730000	680.917693
0.740000	673.328986
0.750000	665.493030
0.760000	655.240353
0.770000	642.745398
0.780000	625.815212
0.790000	608.684814
0.800000	594.388895
0.810000	584.287809
0.820000	576.287319
0.830000	568.558477
0.840000	562.527675
0.850000	558.491741
0.860000	557.100737
0.870000	557.752671
0.880000	560.004705
0.890000	560.669225
0.900000	560.916496
0.910000	560.911559
0.920000	561.491358
0.930000	559.470083
0.940000	559.748345
0.950000	562.341111
0.960000	567.665027
0.970000	573.529569
0.980000	578.574578
0.990000	586.388199
1.000000	592.785348
1.010000	596.242694
1.020000	586.627007
1.030000	557.761904
1.040000	504.457865
1.050000	430.082879
1.060000	330.939761
1.070000	213.979450
1.080000	95.309158
1.090000	-22.848322
1.100000	-147.541415
1.110000	-265.993289
1.120000	-372.784660
