Time(s)	RED_denoised_wiener
0.000000	-0.612943
0.010000	-3.576801
0.020000	-3.900680
0.030000	2.098392
0.040000	18.093154
0.050000	35.085035
0.060000	47.442598
0.070000	57.439863
0.080000	67.472293
0.090000	82.815963
0.100000	99.490033
0.110000	120.558324
0.120000	143.506138
0.130000	167.987102
0.140000	193.535819
0.150000	214.749663
0.160000	237.276634
0.170000	253.489983
0.180000	265.057297
0.190000	266.558592
0.200000	265.554803
0.210000	264.962400
0.220000	267.065290
0.230000	276.387172
0.240000	287.897775
0.250000	290.142631
0.260000	277.427836
0.270000	255.945912
0.280000	238.658418
0.290000	228.403401
0.300000	218.210823
0.310000	209.232040
0.320000	196.762736
0.330000	186.103829
0.340000	179.655763
0.350000	180.326168
0.360000	186.552411
0.370000	191.550137
0.380000	196.821195
0.390000	203.790010
0.400000	213.438284
0.410000	223.370196
0.420000	231.739873
0.430000	248.332049
0.440000	271.693720
0.450000	299.976001
0.460000	324.311537
0.470000	342.989583
0.480000	354.947835
0.490000	359.019636
0.500000	359.616264
0.510000	361.734827
0.520000	368.295903
0.530000	374.445626
0.540000	381.676646
0.550000	388.498614
0.560000	387.056999
0.570000	372.242939
0.580000	346.475192
0.590000	327.045312
0.600000	316.871137
0.610000	310.174392
0.620000	301.284664
0.630000	290.336729
0.640000	282.395734
0.650000	277.168371
0.660000	281.209656
0.670000	289.652701
0.680000	300.716128
0.690000	306.805156
0.700000	306.924831
0.710000	307.328298
0.720000	306.462883
0.730000	306.880174
0.740000	306.338571
0.750000	306.460133
0.760000	310.903991
0.770000	316.706038
0.780000	327.170763
0.790000	337.948382
0.800000	349.802368
0.810000	359.196363
0.820000	367.464787
0.830000	376.463200
0.840000	386.473626
0.850000	394.739079
0.860000	398.834079
0.870000	391.351959
0.880000	370.226524
0.890000	344.011303
0.900000	321.303020
0.910000	309.685099
0.920000	300.017451
0.930000	292.735693
0.940000	283.736542
0.950000	277.159345
0.960000	270.788557
0.970000	272.293816
0.980000	279.162896
0.990000	289.112492
1.000000	297.547747
1.010000	303.624947
1.020000	311.295860
1.030000	319.139349
1.040000	326.061520
1.050000	331.672273
1.060000	338.518443
1.070000	346.547861
1.080000	356.995304
1.090000	365.089958
1.100000	374.511645
1.110000	381.628171
1.120000	391.735300
1.130000	400.823544
1.140000	408.986198
1.150000	415.699783
1.160000	421.589394
1.170000	426.589853
1.180000	424.190527
1.190000	408.831415
1.200000	386.839764
1.210000	366.761098
1.220000	356.168258
1.230000	351.675844
1.240000	345.499731
1.250000	338.963894
1.260000	336.855562
1.270000	340.256505
1.280000	348.554702
1.290000	356.216778
1.300000	358.269778
1.310000	356.543349
1.320000	354.336382
1.330000	358.560546
1.340000	365.721652
1.350000	374.263519
1.360000	384.458936
1.370000	394.641358
1.380000	401.538536
1.390000	406.043894
1.400000	409.967103
1.410000	415.126097
1.420000	419.731931
1.430000	428.238133
1.440000	438.825402
1.450000	453.038463
1.460000	465.578979
1.470000	479.206334
1.480000	490.995527
1.490000	495.044451
1.500000	486.760596
1.510000	469.916966
1.520000	456.559638
1.530000	448.773197
1.540000	445.026313
1.550000	437.957466
1.560000	429.194881
1.570000	418.814488
1.580000	411.385952
1.590000	407.336769
1.600000	405.248396
1.610000	401.529328
1.620000	393.790188
1.630000	386.082089
1.640000	379.666628
1.650000	376.311675
1.660000	376.882481
1.670000	381.213446
1.680000	387.435123
1.690000	394.458613
1.700000	400.660664
1.710000	408.054582
1.720000	412.209096
1.730000	415.342511
1.740000	417.424822
1.750000	418.303343
1.760000	419.986155
1.770000	418.921674
1.780000	417.235612
1.790000	410.861956
1.800000	395.824027
1.810000	367.137938
1.820000	331.783518
1.830000	300.094430
1.840000	276.731809
1.850000	255.692423
1.860000	234.359934
1.870000	214.639774
1.880000	197.990177
1.890000	186.257943
1.900000	179.284399
1.910000	175.207322
1.920000	167.568285
1.930000	155.507431
1.940000	143.201090
1.950000	135.811734
1.960000	131.816747
1.970000	128.446887
1.980000	122.097446
1.990000	117.438498
2.000000	117.707667
2.010000	128.102006
2.020000	145.628300
2.030000	162.752340
2.040000	179.234656
2.050000	191.057706
2.060000	201.526254
2.070000	210.685638
2.080000	220.487658
2.090000	229.635601
2.100000	237.782340
2.110000	244.916873
2.120000	248.734154
2.130000	243.184337
2.140000	231.708223
2.150000	217.112625
2.160000	206.355967
2.170000	196.341940
2.180000	189.346816
2.190000	185.560244
2.200000	183.661271
2.210000	180.434134
2.220000	180.658174
2.230000	189.970567
2.240000	204.288266
2.250000	217.828581
2.260000	228.922267
2.270000	242.029067
2.280000	257.202830
2.290000	276.225989
2.300000	300.473653
2.310000	329.408725
2.320000	355.382362
2.330000	379.940486
2.340000	399.934964
2.350000	421.487506
2.360000	441.117336
2.370000	462.376328
2.380000	481.602052
2.390000	501.270504
2.400000	517.724753
2.410000	536.845369
2.420000	554.808286
2.430000	563.061059
2.440000	552.543892
2.450000	526.964933
2.460000	506.644555
2.470000	494.473344
2.480000	488.049398
2.490000	477.613234
2.500000	468.814552
2.510000	468.407109
2.520000	480.222261
2.530000	499.159994
2.540000	521.617244
2.550000	540.887137
2.560000	556.678916
2.570000	569.933007
2.580000	582.056825
2.590000	592.287478
2.600000	598.745834
2.610000	600.625325
2.620000	603.766458
2.630000	607.257578
2.640000	610.767884
2.650000	607.517576
2.660000	600.775279
2.670000	596.763634
2.680000	595.075318
2.690000	596.657168
2.700000	591.655682
2.710000	583.563576
2.720000	568.524971
2.730000	550.132437
2.740000	522.342674
2.750000	480.345780
2.760000	435.177871
2.770000	393.186424
2.780000	361.989608
2.790000	332.286516
2.800000	303.129738
2.810000	275.363176
2.820000	251.244929
2.830000	235.082835
2.840000	226.985479
2.850000	223.094681
2.860000	219.027191
2.870000	215.088194
2.880000	210.701457
2.890000	206.385875
2.900000	201.005187
2.910000	197.327804
2.920000	191.924932
2.930000	185.914771
2.940000	181.145409
2.950000	178.129639
2.960000	171.313634
2.970000	158.317142
2.980000	145.469204
2.990000	136.126076
3.000000	131.247291
3.010000	126.214962
3.020000	121.333672
3.030000	117.934274
3.040000	116.377831
3.050000	103.576590
3.060000	75.406049
3.070000	36.535332
3.080000	-3.259937
3.090000	-39.562709
3.100000	-77.996066
3.110000	-114.677713
3.120000	-152.795184
3.130000	-189.152591
3.140000	-226.321386
3.150000	-257.312955
3.160000	-275.895239
3.170000	-281.535042
3.180000	-282.205692
3.190000	-287.809491
3.200000	-296.531517
3.210000	-306.130816
3.220000	-310.896347
3.230000	-316.866768
3.240000	-326.300302
3.250000	-340.650501
3.260000	-356.073514
3.270000	-367.816023
3.280000	-376.579805
3.290000	-382.030603
3.300000	-391.492841
3.310000	-403.273264
3.320000	-415.458590
3.330000	-424.231142
3.340000	-427.817530
3.350000	-432.933709
3.360000	-437.875174
3.370000	-450.718759
3.380000	-471.633836
3.390000	-498.219938
3.400000	-525.442229
3.410000	-546.105929
3.420000	-561.999816
3.430000	-578.727354
3.440000	-590.250820
3.450000	-598.095372
3.460000	-614.256830
3.470000	-638.489773
3.480000	-665.643125
3.490000	-674.901993
3.500000	-675.506554
3.510000	-673.700978
3.520000	-669.748954
3.530000	-663.227205
3.540000	-658.066170
3.550000	-658.149888
3.560000	-659.759474
3.570000	-659.470732
3.580000	-659.532757
3.590000	-659.515657
3.600000	-655.361217
3.610000	-649.644309
3.620000	-643.250909
3.630000	-638.844071
3.640000	-632.522489
3.650000	-630.471805
3.660000	-628.165258
3.670000	-620.164656
3.680000	-608.897592
3.690000	-601.939942
3.700000	-614.051615
3.710000	-643.405287
3.720000	-680.253158
3.730000	-716.611738
3.740000	-743.187677
3.750000	-769.941289
3.760000	-785.467373
3.770000	-794.385680
3.780000	-799.814066
3.790000	-812.923605
3.800000	-825.846837
3.810000	-831.870015
3.820000	-825.622224
3.830000	-821.610221
3.840000	-819.095204
3.850000	-820.766236
3.860000	-820.951872
3.870000	-812.658855
3.880000	-803.589383
3.890000	-780.568188
3.900000	-778.433057
3.910000	-776.065022
3.920000	-778.088854
3.930000	-767.911884
3.940000	-760.907636
3.950000	-760.467902
3.960000	-750.749191
3.970000	-736.155338
3.980000	-720.999836
3.990000	-710.588362
4.000000	-699.965349
4.010000	-692.119776
4.020000	-692.347279
4.030000	-703.387759
4.040000	-717.109776
4.050000	-732.753247
4.060000	-748.948018
4.070000	-770.546738
4.080000	-790.163711
4.090000	-806.768897
4.100000	-818.455015
4.110000	-828.416561
4.120000	-835.813532
4.130000	-839.475071
4.140000	-835.242385
4.150000	-824.293567
4.160000	-814.769136
4.170000	-808.506967
4.180000	-806.372198
4.190000	-803.115989
4.200000	-801.409520
4.210000	-801.798433
4.220000	-805.193854
4.230000	-810.220684
4.240000	-813.385194
4.250000	-812.058200
4.260000	-806.998793
